tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
8009,39185,20,7,0,0,1,1,157
39185,49154,2,1,1024,0,1,1,158
39185,106,2,1,1024,0,1,1,159
1433,39185,20,7,0,0,1,1,160
79,39185,20,7,0,0,1,1,161
49156,39185,20,7,0,0,1,1,162
39185,10000,2,1,1024,0,1,1,163
39185,9999,2,1,1024,0,1,1,164
39185,8008,2,1,1024,0,1,1,165
39185,7070,2,1,1024,0,1,1,166
39185,646,2,1,1024,0,1,1,167
39185,515,2,1,1024,0,1,1,168
39185,49152,2,1,1024,0,1,1,169
1755,39185,20,7,0,0,1,1,170
1110,39185,20,7,0,0,1,1,171
49154,39185,20,7,0,0,1,1,172
106,39185,20,7,0,0,1,1,173
39185,2121,2,1,1024,0,1,1,174
39185,49157,2,1,1024,0,1,1,175
39185,2001,2,1,1024,0,1,1,176
39185,8000,2,1,1024,0,1,1,177
10000,39185,20,7,0,0,1,1,178
39185,5000,2,1,1024,0,1,1,179
39185,1028,2,1,1024,0,1,1,180
39185,1029,2,1,1024,0,1,1,181
9999,39185,20,7,0,0,1,1,182
8008,39185,20,7,0,0,1,1,183
7070,39185,20,7,0,0,1,1,184
39185,2717,2,1,1024,0,1,1,185
39185,3128,2,1,1024,0,1,1,186
39185,9,2,1,1024,0,1,1,187
646,39185,20,7,0,0,1,1,188
515,39185,20,7,0,0,1,1,189
49152,39185,20,7,0,0,1,1,190
2121,39185,20,7,0,0,1,1,191
49157,39185,20,7,0,0,1,1,192
2001,39185,20,7,0,0,1,1,193
8000,39185,20,7,0,0,1,1,194
5000,39185,20,7,0,0,1,1,195
1028,39185,20,7,0,0,1,1,196
1029,39185,20,7,0,0,1,1,197
2717,39185,20,7,0,0,1,1,198
3128,39185,20,7,0,0,1,1,199
9,39185,20,7,0,0,1,1,200
51992,7,2,1,31337,1,0,1,201
7,51992,20,7,0,0,1,1,202
51993,7,16,2,32768,1,0,1,203
7,51993,4,6,0,0,1,1,204
51994,7,41,10,65535,1,0,1,205
7,51994,20,7,0,0,1,1,206
52248,7,2,1,31337,1,0,1,207
7,52248,20,7,0,0,1,1,208
52249,7,16,2,32768,1,0,1,209
7,52249,4,6,0,0,1,1,210
52250,7,41,10,65535,1,0,1,211
7,52250,20,7,0,0,1,1,212
54942,8080,2,1,1024,0,1,1,213
54942,5900,2,1,1024,0,1,1,214
54942,53,2,1,1024,0,1,1,215
54942,135,2,1,1024,0,1,1,216
54942,113,2,1,1024,0,1,1,217
54942,554,2,1,1024,0,1,1,218
54942,3389,2,1,1024,0,1,1,219
54942,110,2,1,1024,0,1,1,220
8080,54942,20,7,0,0,1,1,221
5900,54942,20,7,0,0,1,1,222
54942,993,2,1,1024,0,1,1,223
54942,139,2,1,1024,0,1,1,224
53,54942,20,7,0,0,1,1,225
135,54942,20,7,0,0,1,1,226
113,54942,20,7,0,0,1,1,227
554,54942,20,7,0,0,1,1,228
3389,54942,20,7,0,0,1,1,229
110,54942,20,7,0,0,1,1,230
993,54942,20,7,0,0,1,1,231
139,54942,20,7,0,0,1,1,232
54942,21,2,1,1024,0,1,1,233
54942,111,2,1,1024,0,1,1,234
54942,445,2,1,1024,0,1,1,235
54942,22,2,1,1024,0,1,1,236
54942,199,2,1,1024,0,1,1,237
54942,3306,2,1,1024,0,1,1,238
54942,587,2,1,1024,0,1,1,239
54942,25,2,1,1024,0,1,1,240
54942,1720,2,1,1024,0,1,1,241
54942,143,2,1,1024,0,1,1,242
21,54942,20,7,0,0,1,1,243
111,54942,20,7,0,0,1,1,244
445,54942,20,7,0,0,1,1,245
54942,80,2,1,1024,0,1,1,246
54942,8888,2,1,1024,0,1,1,247
22,54942,20,7,0,0,1,1,248
54942,1723,2,1,1024,0,1,1,249
54942,1025,2,1,1024,0,1,1,250
54942,23,2,1,1024,0,1,1,251
54942,995,2,1,1024,0,1,1,252
54942,443,2,1,1024,0,1,1,253
54942,49157,2,1,1024,0,1,1,254
54942,1110,2,1,1024,0,1,1,255
54942,5631,2,1,1024,0,1,1,256
199,54942,20,7,0,0,1,1,257
3306,54942,20,7,0,0,1,1,258
587,54942,20,7,0,0,1,1,259
25,54942,20,7,0,0,1,1,260
1720,54942,20,7,0,0,1,1,261
143,54942,20,7,0,0,1,1,262
80,54942,20,7,0,0,1,1,263
8888,54942,20,7,0,0,1,1,264
1723,54942,20,7,0,0,1,1,265
1025,54942,20,7,0,0,1,1,266
23,54942,20,7,0,0,1,1,267
995,54942,20,7,0,0,1,1,268
443,54942,20,7,0,0,1,1,269
49157,54942,20,7,0,0,1,1,270
1110,54942,20,7,0,0,1,1,271
5631,54942,20,7,0,0,1,1,272
54942,8009,2,1,1024,0,1,1,273
54942,49156,2,1,1024,0,1,1,274
54942,6000,2,1,1024,0,1,1,275
54942,10000,2,1,1024,0,1,1,276
54942,514,2,1,1024,0,1,1,277
8009,54942,20,7,0,0,1,1,278
54942,515,2,1,1024,0,1,1,279
54942,465,2,1,1024,0,1,1,280
54942,2000,2,1,1024,0,1,1,281
54942,3986,2,1,1024,0,1,1,282
54942,5190,2,1,1024,0,1,1,283
49156,54942,20,7,0,0,1,1,284
54942,26,2,1,1024,0,1,1,285
54942,2049,2,1,1024,0,1,1,286
54942,88,2,1,1024,0,1,1,287
54942,49154,2,1,1024,0,1,1,288
6000,54942,20,7,0,0,1,1,289
10000,54942,20,7,0,0,1,1,290
514,54942,20,7,0,0,1,1,291
515,54942,20,7,0,0,1,1,292
465,54942,20,7,0,0,1,1,293
54942,49152,2,1,1024,0,1,1,294
54942,873,2,1,1024,0,1,1,295
54942,4899,2,1,1024,0,1,1,296
54942,9,2,1,1024,0,1,1,297
54942,427,2,1,1024,0,1,1,298
54942,9999,2,1,1024,0,1,1,299
2000,54942,20,7,0,0,1,1,300
3986,54942,20,7,0,0,1,1,301
5190,54942,20,7,0,0,1,1,302
54942,79,2,1,1024,0,1,1,303
54942,9100,2,1,1024,0,1,1,304
54942,7,2,1,1024,0,1,1,305
